Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5281650 A: 1451829
APM: [MLAgent] S: 5281751 A: 1451829
APM: [MLAgent] S: 5281850 A: 1451829
AUTO> APM: [MLAgent] S: 5281950 A: 1451829
APM: [MLAgent] S: 5282051 A: 1451829
APM: [MLAgent] S: 5282150 A: 1451829
APM: [MLAgent] S: 5282250 A: 1451829
APM: [MLAgent] S: 5282350 A: 1451829
APM: [MLAgent] S: 5282450 A: 1451829
APM: [MLAgent] S: 5282550 A: 1451829
APM: [MLAgent] S: 5282651 A: 1451829
APM: [MLAgent] S: 5282750 A: 1451829
APM: [MLAgent] S: 5282850 A: 1451829
APM: [MLAgent] S: 5282950 A: 1451829
APM: [MLAgent] S: 5283050 A: 1451829
APM: [MLAgent] S: 5283150 A: 1451829
APM: [MLAgent] S: 5283251 A: 1451829
APM: [MLAgent] S: 5283350 A: 1451829
APM: [MLAgent] S: 5283450 A: 1451829
APM: [MLAgent] S: 5283851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5283950 A: 1451829
APM: [MLAgent] S: 5284050 A: 1451829
:EK2_GSCL_P_NSE	AAPM: Mission: 11 MLControl
APM: [MLAgent] Entering ML mode
APM: [MLAgent] S: 5284650 A: 5284689
APM: [MLAgent] S: 5284751 A: 5284790
APM: [MLAgent] S: 5284850 A: 5284889
APM: [MLAgent] S: 5284950 A: 5284990
APM: [MLAgent] S: 5285050 A: 5285089
APM: [MLAgent] S: 5285150 A: 5285189
APM: [MLAgent] S: 5285250 A: 5285289
APM: [MLAgent] S: 5285350 A: 5285389
APM: [MLAgent] S: 5285450 A: 5285470
APM: [MLAgent] S: 5285550 A: 5285589
APM: [MLAgent] S: 5285650 A: 5285690
APM: [MLAgent] S: 5285750 A: 5285789
APM: [MLAgent] S: 5285851 A: 5285890
APM: [MLAgent] S: 5285951 A: 5285989
APM: [MLAgent] S: 5286050 A: 5286089
APM: [MLAgent] S: 5286150 A: 5286189
APM: [MLAgent] S: 5286251 A: 5286289
