Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> online system 1
MANUAL> Mode MANUAL
APM: [MLAgent] EKF position unavailable
APM: ArduPlane V4.0.4 (9a0ca836)
APM: ChibiOS: cb42c858
APM: fmuv2 00230023 30345109 37383933
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
Flight battery 100 percent
APM: [MLAgent] EKF position unavailable
Received 1046 parameters
Saved 1046 parameters to mav.parm
APM: [MLAgent] EKF position unavailable
t,	0-9APM: [MLAgent] EKF position unavailable
tH	2.6APM: [MLAgent] EKF position unavailable
tX	,-5@APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 675370 A: 675389
APM: [MLAgent] S: 675470 A: 675490
APM: [MLAgent] S: 675570 A: 675609
APM: [MLAgent] S: 675670 A: 675689
APM: [MLAgent] S: 675770 A: 675809
APM: [MLAgent] S: 675870 A: 675909
APM: [MLAgent] S: 675970 A: 675989
APM: [MLAgent] S: 676070 A: 676089
APM: [MLAgent] S: 676170 A: 676209
APM: [MLAgent] S: 676271 A: 676309
APM: [MLAgent] S: 676371 A: 676409
APM: [MLAgent] S: 676470 A: 676509
APM: [MLAgent] S: 676570 A: 676609
APM: [MLAgent] S: 676670 A: 676689
APM: [MLAgent] S: 676770 A: 676809
APM: [MLAgent] S: 676870 A: 676909
APM: [MLAgent] S: 676970 A: 676989
APM: [MLAgent] S: 677070 A: 677109
APM: [MLAgent] S: 677170 A: 677209
APM: [MLAgent] S: 677270 A: 677309
APM: [MLAgent] S: 677370 A: 677409
APM: [MLAgent] S: 677470 A: 677509
APM: [MLAgent] S: 677570 A: 677589
APM: [MLAgent] S: 677670 A: 677709
APM: [MLAgent] S: 677770 A: 677809
APM: [MLAgent] S: 677870 A: 677909
APM: [MLAgent] S: 677970 A: 678009
APM: [MLAgent] S: 678070 A: 678109
APM: [MLAgent] S: 678170 A: 678209
APM: [MLAgent] S: 678271 A: 678309
APM: [MLAgent] S: 678370 A: 678409
APM: [MLAgent] S: 678470 A: 678490
APM: [MLAgent] S: 678570 A: 678610
APM: [MLAgent] S: 678670 A: 678690
APM: [MLAgent] S: 678770 A: 678809
APM: [MLAgent] S: 678870 A: 678909
APM: [MLAgent] S: 678970 A: 678990
APM: [MLAgent] S: 679070 A: 679109
APM: [MLAgent] S: 679170 A: 679209
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 679271 A: 679309
APM: [MLAgent] S: 679371 A: 679409
APM: [MLAgent] S: 679470 A: 679509
APM: [MLAgent] S: 679570 A: 679590
APM: [MLAgent] S: 679670 A: 679689
APM: [MLAgent] S: 679770 A: 679810
APM: [MLAgent] S: 679870 A: 679909
APM: [MLAgent] S: 679970 A: 680009
APM: [MLAgent] S: 680070 A: 680109
APM: [MLAgent] S: 680170 A: 680189
APM: [MLAgent] S: 680270 A: 680310
APM: [MLAgent] S: 680370 A: 680409
APM: [MLAgent] S: 680470 A: 680509
APM: [MLAgent] S: 680570 A: 680589
APM: [MLAgent] S: 680670 A: 680709
APM: [MLAgent] S: 680770 A: 680810
APM: [MLAgent] S: 680870 A: 680910
APM: [MLAgent] S: 680970 A: 681009
APM: [MLAgent] S: 681070 A: 681109
APM: [MLAgent] S: 681170 A: 681190
APM: [MLAgent] S: 681271 A: 681309
APM: [MLAgent] S: 681370 A: 681409
APM: [MLAgent] S: 681470 A: 681509
APM: [MLAgent] S: 681570 A: 681609
APM: [MLAgent] S: 681670 A: 681689
APM: [MLAgent] S: 681770 A: 681809
APM: [MLAgent] S: 681870 A: 681910
APM: [MLAgent] S: 681970 A: 682009
APM: [MLAgent] S: 682070 A: 682089
APM: [MLAgent] S: 682170 A: 682209
APM: [MLAgent] S: 682270 A: 682289
APM: [MLAgent] S: 682370 A: 682409
APM: [MLAgent] S: 682470 A: 682510
APM: [MLAgent] S: 682570 A: 682589
APM: [MLAgent] S: 682670 A: 682689
APM: [MLAgent] S: 682770 A: 682810
APM: [MLAgent] S: 682870 A: 682909
APM: [MLAgent] S: 682970 A: 682990
APM: [MLAgent] S: 683070 A: 683110
APM: [MLAgent] S: 683170 A: 683189
APM: [MLAgent] S: 683270 A: 683289
APM: [MLAgent] S: 683370 A: 683409
APM: [MLAgent] S: 683470 A: 683489
APM: [MLAgent] S: 683570 A: 683609
APM: [MLAgent] S: 683670 A: 683709
APM: [MLAgent] S: 683770 A: 683809
APM: [MLAgent] S: 683870 A: 683909
